MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION
102M,1,260,120,46.15,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
103M,1,268,122,45.52,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
104M,1,260,137,52.69,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
105M,1,260,116,44.62,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
106M,1,255,109,42.75,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
107M,1,270,121,44.81,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
108M,1,279,124,44.44,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
109M,1,252,118,46.83,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
110M,1,275,133,48.36,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
111M,1,262,132,50.38,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
112M,1,244,106,43.44,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
113M,1,264,113,42.8,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
114M,1,241,102,42.32,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
115M,1,263,123,46.77,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
116M,1,265,127,47.92,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
117M,1,269,144,53.53,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
202V,1,254,120,47.24,COLEGIO INGLES,IQUIQUE,IQUIQUE
203V,1,245,125,51.02,COLEGIO INGLES,IQUIQUE,IQUIQUE
204V,1,263,139,52.85,COLEGIO INGLES,IQUIQUE,IQUIQUE
205V,1,240,121,50.42,COLEGIO INGLES,IQUIQUE,IQUIQUE
206V,1,243,138,56.79,COLEGIO INGLES,IQUIQUE,IQUIQUE
207V,1,244,114,46.72,COLEGIO INGLES,IQUIQUE,IQUIQUE
208V,1,245,130,53.06,COLEGIO INGLES,IQUIQUE,IQUIQUE
209V,1,230,120,52.17,COLEGIO INGLES,IQUIQUE,IQUIQUE
210V,1,238,126,52.94,COLEGIO INGLES,IQUIQUE,IQUIQUE
211V,1,260,123,47.31,COLEGIO INGLES,IQUIQUE,IQUIQUE
212V,1,269,118,43.87,COLEGIO INGLES,IQUIQUE,IQUIQUE
213V,1,229,107,46.72,COLEGIO INGLES,IQUIQUE,IQUIQUE
214V,1,239,134,56.07,COLEGIO INGLES,IQUIQUE,IQUIQUE
216V,1,246,138,56.1,COLEGIO INGLES,IQUIQUE,IQUIQUE
217V,1,227,120,52.86,COLEGIO INGLES,IQUIQUE,IQUIQUE
218V,1,237,136,57.38,COLEGIO INGLES,IQUIQUE,IQUIQUE
219V,1,239,116,48.54,COLEGIO INGLES,IQUIQUE,IQUIQUE
220V,1,236,111,47.03,COLEGIO INGLES,IQUIQUE,IQUIQUE
221V,1,237,124,52.32,COLEGIO INGLES,IQUIQUE,IQUIQUE
222V-228V,1,450,232,51.56,COLEGIO INGLES,IQUIQUE,IQUIQUE
50V,1,266,118,44.36,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
51V,1,269,124,46.1,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
52V,1,261,116,44.44,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
53V,1,263,130,49.43,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
54V,1,273,125,45.79,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
55V,1,264,112,42.42,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
56V,1,271,129,47.6,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
57V,1,259,109,42.08,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
58V,1,259,120,46.33,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
59V,1,265,120,45.28,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
60V,1,265,130,49.06,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
61V,1,274,137,50.0,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
62V,1,268,133,49.63,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
63V,1,247,101,40.89,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
64V,1,262,116,44.27,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
65V,1,270,126,46.67,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
66V,1,262,130,49.62,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
67V,1,255,108,42.35,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
68V,1,264,118,44.7,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
69V,1,264,144,54.55,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE
86V,1,257,127,49.42,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
87V,1,267,145,54.31,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
88V,1,259,136,52.51,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
89V,1,277,146,52.71,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
90V,1,272,134,49.26,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
91V,1,251,127,50.6,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
92V,1,248,107,43.15,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
93V,1,261,127,48.66,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
94V,1,253,126,49.8,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
95V,1,267,124,46.44,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
96V,1,264,125,47.35,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
97V,1,231,125,54.11,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
98V,1,262,120,45.8,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
99V,1,261,121,46.36,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
100V,1,271,137,50.55,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
101V,1,276,148,53.62,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
102V,1,250,130,52.0,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
103V,1,258,130,50.39,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
104V,1,260,126,48.46,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
105V,1,249,114,45.78,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE
161V,1,262,86,32.82,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
162V,1,266,94,35.34,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
163V,1,253,81,32.02,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
164V,1,280,94,33.57,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
165V,1,265,85,32.08,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
166V,1,270,76,28.15,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
167V,1,270,96,35.56,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
168V,1,278,84,30.22,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
169V,1,273,96,35.16,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
170V,1,279,84,30.11,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
171V,1,281,96,34.16,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
172V,1,267,90,33.71,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
173V,1,261,98,37.55,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
174V,1,248,130,52.42,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
175V,1,237,123,51.9,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
176V,1,253,130,51.38,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
177V,1,227,118,51.98,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
178V,1,229,117,51.09,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
180V,1,246,93,37.8,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
181V,1,249,131,52.61,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE
141V,1,272,115,42.28,CORONA SCHOOL,IQUIQUE,IQUIQUE
142V,1,296,106,35.81,CORONA SCHOOL,IQUIQUE,IQUIQUE
143V,1,295,117,39.66,CORONA SCHOOL,IQUIQUE,IQUIQUE
144V,1,274,99,36.13,CORONA SCHOOL,IQUIQUE,IQUIQUE
145V,1,268,93,34.7,CORONA SCHOOL,IQUIQUE,IQUIQUE
146V,1,284,107,37.68,CORONA SCHOOL,IQUIQUE,IQUIQUE
147V,1,271,87,32.1,CORONA SCHOOL,IQUIQUE,IQUIQUE
148V,1,277,102,36.82,CORONA SCHOOL,IQUIQUE,IQUIQUE
149V,1,264,100,37.88,CORONA SCHOOL,IQUIQUE,IQUIQUE
150V,1,261,93,35.63,CORONA SCHOOL,IQUIQUE,IQUIQUE
151V,1,271,89,32.84,CORONA SCHOOL,IQUIQUE,IQUIQUE
152V,1,264,96,36.36,CORONA SCHOOL,IQUIQUE,IQUIQUE
153V,1,276,88,31.88,CORONA SCHOOL,IQUIQUE,IQUIQUE
154V,1,275,100,36.36,CORONA SCHOOL,IQUIQUE,IQUIQUE
155V,1,269,87,32.34,CORONA SCHOOL,IQUIQUE,IQUIQUE
156V,1,272,97,35.66,CORONA SCHOOL,IQUIQUE,IQUIQUE
157V,1,271,103,38.01,CORONA SCHOOL,IQUIQUE,IQUIQUE
158V,1,261,87,33.33,CORONA SCHOOL,IQUIQUE,IQUIQUE
159V,1,257,87,33.85,CORONA SCHOOL,IQUIQUE,IQUIQUE
160V,1,279,91,32.62,CORONA SCHOOL,IQUIQUE,IQUIQUE
61M,1,278,130,46.76,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
62M,1,263,120,45.63,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
63M,1,271,125,46.13,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
64M,1,253,115,45.45,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
65M,1,246,101,41.06,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
66M,1,270,121,44.81,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
67M,1,265,120,45.28,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
68M,1,260,122,46.92,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
69M,1,253,125,49.41,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
70M,1,244,116,47.54,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
71M,1,253,113,44.66,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
72M,1,278,133,47.84,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
73M,1,264,113,42.8,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
74M,1,282,107,37.94,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
75M,1,273,131,47.99,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
76M,1,282,133,47.16,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
77M,1,270,128,47.41,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
78M,1,264,120,45.45,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
79M,1,252,120,47.62,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
80M,1,265,124,46.79,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE
223V,1,245,96,39.18,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
224V,1,266,112,42.11,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
225V,1,251,132,52.59,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
226V,1,245,123,50.2,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
229V,1,225,127,56.44,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
231V,1,234,115,49.15,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
232V,1,248,127,51.21,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
233V,1,242,124,51.24,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
234V,1,246,137,55.69,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
235V,1,238,129,54.2,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
236V,1,252,145,57.54,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
237V,1,233,119,51.07,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
238V,1,238,122,51.26,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
240,1,240,109,45.42,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
241,1,226,100,44.25,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
242,1,233,115,49.36,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE
30V,1,269,140,52.04,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
31V,1,254,124,48.82,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
32V,1,249,121,48.59,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
33V,1,263,140,53.23,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
34V,1,264,132,50.0,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
35V,1,254,112,44.09,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
36V,1,254,115,45.28,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
37V,1,268,113,42.16,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
38V,1,267,129,48.31,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
39V,1,244,98,40.16,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
40V,1,259,115,44.4,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
41V,1,254,125,49.21,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
42V,1,262,137,52.29,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
43V,1,265,132,49.81,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
44V,1,239,116,48.54,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
45V,1,276,115,41.67,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
46V,1,263,117,44.49,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
47V,1,265,101,38.11,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
48V,1,255,120,47.06,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
49V,1,254,122,48.03,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE
81M,1,247,115,46.56,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
82M,1,264,127,48.11,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
83M,1,274,117,42.7,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
84M,1,261,123,47.13,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
85M,1,254,124,48.82,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
86M,1,267,100,37.45,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
87M,1,271,119,43.91,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
88M,1,259,116,44.79,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
89M,1,263,121,46.01,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
90M,1,259,140,54.05,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
91M,1,261,123,47.13,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
92M,1,271,132,48.71,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
93M,1,258,123,47.67,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
94M,1,257,110,42.8,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
95M,1,269,137,50.93,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
96M,1,260,121,46.54,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
97M,1,263,127,48.29,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE
106V,1,257,111,43.19,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
107V,1,256,110,42.97,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
108V,1,252,131,51.98,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
109V,1,258,132,51.16,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
110V,1,262,144,54.96,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
111V,1,261,128,49.04,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
112V,1,261,148,56.7,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
113V,1,260,116,44.62,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
114V,1,258,127,49.22,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
115V,1,265,126,47.55,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
116V,1,260,122,46.92,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
117V,1,263,137,52.09,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
118V,1,260,134,51.54,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
119V,1,266,129,48.5,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
120V,1,247,114,46.15,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE
11V,1,261,112,42.91,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
12V,1,265,110,41.51,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
13V,1,262,101,38.55,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
14V,1,267,108,40.45,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
15V,1,257,116,45.14,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
16V,1,267,127,47.57,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
17V,1,264,109,41.29,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
18V,1,265,121,45.66,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
19V,1,241,106,43.98,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
20V,1,257,117,45.53,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
21V,1,272,114,41.91,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
22V,1,277,138,49.82,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
23V,1,257,108,42.02,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
24V,1,257,128,49.81,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
25V,1,260,115,44.23,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
26V,1,254,120,47.24,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
27V,1,270,116,42.96,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
28V,1,255,117,45.88,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
29V,1,263,111,42.21,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE
41M,1,270,128,47.41,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
42M,1,283,122,43.11,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
43M,1,274,115,41.97,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
44M,1,255,103,40.39,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
45M,1,253,121,47.83,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
46M,1,279,130,46.59,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
47M,1,270,117,43.33,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
48M,1,246,117,47.56,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
49M,1,267,123,46.07,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
50M,1,260,121,46.54,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
51M,1,270,134,49.63,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
52M,1,275,118,42.91,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
53M,1,260,124,47.69,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
54M,1,265,111,41.89,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
55M,1,277,127,45.85,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
56M,1,267,132,49.44,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
57M,1,264,125,47.35,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
58M,1,259,118,45.56,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
59M,1,265,109,41.13,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
60M,1,248,131,52.82,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE
21M,1,265,102,38.49,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
22M,1,256,87,33.98,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
23M,1,269,109,40.52,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
24M,1,261,106,40.61,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
25M,1,271,99,36.53,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
26M,1,263,113,42.97,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
27M,1,267,97,36.33,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
28M,1,296,105,35.47,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
29M,1,261,104,39.85,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
30M,1,273,129,47.25,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
31M,1,266,104,39.1,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
32M,1,276,104,37.68,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
33M,1,265,120,45.28,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
34M,1,282,108,38.3,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
35M,1,267,98,36.7,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
36M,1,270,107,39.63,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
37M,1,269,113,42.01,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
38M,1,276,101,36.59,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
39M,1,268,131,48.88,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
40M,1,272,122,44.85,ESCUELA PLACIDO VILLARROEL,IQUIQUE,IQUIQUE
178M,1,255,139,54.51,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
179M,1,256,137,53.52,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
180M,1,246,132,53.66,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
181M,1,242,104,42.98,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
182M,1,243,116,47.74,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
184M,1,235,128,54.47,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
185M,1,240,141,58.75,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
186M,1,238,129,54.2,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
187M,1,230,123,53.48,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
188M,1,230,117,50.87,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
189M,1,245,125,51.02,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
190M,1,233,118,50.64,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
191M,1,236,108,45.76,INSTITUTO COMERCIAL DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,IQUIQUE
