MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
131,1,345,124,35.94,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,112,12
132,1,347,158,45.53,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,122,36
133,1,350,151,43.14,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,123,28
134,1,350,147,42.0,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,120,27
135,1,334,159,47.6,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,130,29
136,1,316,208,65.82,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,166,41
137,1,248,134,54.03,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,113,21
138,1,264,169,64.02,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,125,44
139,1,261,112,42.91,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,89,22
1M-140,1,365,174,47.67,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,139,33
2M,1,330,155,46.97,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,130,23
3M,1,332,156,46.99,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,130,26
4M,1,332,159,47.89,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,123,36
5M,1,335,159,47.46,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,130,28
6M,1,338,162,47.93,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,136,25
7M,1,333,157,47.15,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,136,21
8M,1,339,162,47.79,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,124,38
9M,1,341,149,43.7,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,118,29
10M,1,341,164,48.09,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,125,37
11M,1,340,177,52.06,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,126,51
12M,1,339,181,53.39,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,146,35
13M,1,343,189,55.1,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,156,32
14M,1,336,172,51.19,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,156,32
15M,1,337,177,52.52,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,146,25
16M,1,335,185,55.22,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,146,38
17M,1,344,184,53.49,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,146,38
50,1,334,118,35.33,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,99,17
51,1,337,153,45.4,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,130,23
52,1,334,122,36.53,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,104,17
53,1,336,140,41.67,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,124,16
54,1,336,135,40.18,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,110,25
55,1,327,138,42.2,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,122,16
56,1,334,127,38.02,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,105,21
57,1,337,144,42.73,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,119,25
58,1,331,143,43.2,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,127,15
59,1,339,146,43.07,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,127,19
60,1,336,155,46.13,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,136,19
61,1,335,144,42.99,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,111,32
62,1,339,153,45.13,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,130,23
63,1,338,161,47.63,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,152,9
